timestamp,label,ESP32_NODE_1_sub_0,ESP32_NODE_1_sub_1,ESP32_NODE_1_sub_2,ESP32_NODE_1_sub_3,ESP32_NODE_1_sub_4,ESP32_NODE_1_sub_5,ESP32_NODE_1_sub_6,ESP32_NODE_1_sub_7,ESP32_NODE_1_sub_8,ESP32_NODE_1_sub_9,ESP32_NODE_2_sub_0,ESP32_NODE_2_sub_1,ESP32_NODE_2_sub_2,ESP32_NODE_2_sub_3,ESP32_NODE_2_sub_4,ESP32_NODE_2_sub_5,ESP32_NODE_2_sub_6,ESP32_NODE_2_sub_7,ESP32_NODE_2_sub_8,ESP32_NODE_2_sub_9,ESP32_NODE_3_sub_0,ESP32_NODE_3_sub_1,ESP32_NODE_3_sub_2,ESP32_NODE_3_sub_3,ESP32_NODE_3_sub_4,ESP32_NODE_3_sub_5,ESP32_NODE_3_sub_6,ESP32_NODE_3_sub_7,ESP32_NODE_3_sub_8,ESP32_NODE_3_sub_9
1772090105.5354877,empty_room,90,11,0,0,0,0,15,13,15,14,90,11,0,0,0,0,21,20,21,20,90,11,0,0,0,0,20,18,20,19
1772090105.628609,empty_room,21,15,0,0,0,0,26,24,22,20,128,5,0,0,0,0,18,17,18,19,128,5,0,0,0,0,20,20,20,20
1772090105.7525373,empty_room,99,5,0,0,0,0,20,19,17,15,117,29,0,0,0,0,16,17,15,17,117,29,0,0,0,0,20,20,20,21
1772090105.8450003,empty_room,128,5,0,0,0,0,13,11,15,13,90,11,0,0,0,0,16,18,18,16,128,5,0,0,0,0,18,17,18,17
1772090105.9544594,empty_room,99,5,0,0,0,0,14,16,18,16,128,5,0,0,0,0,20,19,19,19,128,5,0,0,0,0,10,11,12,12
1772090106.0491638,empty_room,128,5,0,0,0,0,13,10,10,12,90,11,0,0,0,0,18,20,18,17,90,11,0,0,0,0,20,19,20,19
1772090106.1586573,empty_room,21,15,0,0,0,0,11,10,9,8,128,5,0,0,0,0,21,23,29,24,134,5,0,0,0,0,13,19,23,27
1772090106.2532213,empty_room,99,5,0,0,0,0,26,24,22,20,99,5,0,0,0,0,20,16,10,4,134,5,0,0,0,0,12,18,22,25
1772090106.3628454,empty_room,128,5,0,0,0,0,15,21,16,18,128,5,0,0,0,0,21,24,23,21,90,11,0,0,0,0,10,9,10,12
1772090106.4715388,empty_room,90,11,0,0,0,0,10,12,13,13,90,11,0,0,0,0,19,19,18,17,90,11,0,0,0,0,11,12,15,12
1772090106.5813978,empty_room,90,11,0,0,0,0,21,21,22,23,90,11,0,0,0,0,20,14,15,16,90,11,0,0,0,0,14,17,17,16
1772090106.6776795,empty_room,90,11,0,0,0,0,10,14,10,12,90,11,0,0,0,0,22,15,18,15,99,5,0,0,0,0,10,14,17,20
1772090106.786869,empty_room,128,5,0,0,0,0,17,17,11,15,90,11,0,0,0,0,20,20,19,20,128,5,0,0,0,0,12,13,12,14
1772090106.8982391,empty_room,21,15,0,0,0,0,21,20,18,15,134,5,0,0,0,0,20,15,9,5,117,29,0,0,0,0,12,16,15,18
1772090107.0088632,empty_room,128,5,0,0,0,0,16,18,17,16,128,5,0,0,0,0,16,17,17,16,128,5,0,0,0,0,12,11,12,11
1772090107.116167,empty_room,90,11,0,0,0,0,12,11,12,9,90,11,0,0,0,0,18,17,17,17,90,11,0,0,0,0,17,17,18,18
1772090107.2419488,empty_room,90,11,0,0,0,0,11,11,12,11,90,11,0,0,0,0,19,19,20,18,128,5,0,0,0,0,15,12,16,16
1772090107.3659737,empty_room,90,11,0,0,0,0,18,16,16,14,90,11,0,0,0,0,20,24,17,18,90,11,0,0,0,0,20,19,22,19
1772090107.5060031,empty_room,90,11,0,0,0,0,12,12,12,11,128,5,0,0,0,0,19,19,21,20,128,5,0,0,0,0,10,10,13,14
