timestamp,label,ESP32_NODE_1_sub_0,ESP32_NODE_1_sub_1,ESP32_NODE_1_sub_2,ESP32_NODE_1_sub_3,ESP32_NODE_1_sub_4,ESP32_NODE_1_sub_5,ESP32_NODE_1_sub_6,ESP32_NODE_1_sub_7,ESP32_NODE_1_sub_8,ESP32_NODE_1_sub_9,ESP32_NODE_2_sub_0,ESP32_NODE_2_sub_1,ESP32_NODE_2_sub_2,ESP32_NODE_2_sub_3,ESP32_NODE_2_sub_4,ESP32_NODE_2_sub_5,ESP32_NODE_2_sub_6,ESP32_NODE_2_sub_7,ESP32_NODE_2_sub_8,ESP32_NODE_2_sub_9,ESP32_NODE_3_sub_0,ESP32_NODE_3_sub_1,ESP32_NODE_3_sub_2,ESP32_NODE_3_sub_3,ESP32_NODE_3_sub_4,ESP32_NODE_3_sub_5,ESP32_NODE_3_sub_6,ESP32_NODE_3_sub_7,ESP32_NODE_3_sub_8,ESP32_NODE_3_sub_9
1772035625.536434,falling_3,134,5,0,0,0,0,21,20,18,18,134,5,0,0,0,0,26,23,19,13,134,5,0,0,0,0,8,15,18,24
1772035625.8544016,falling_3,134,5,0,0,0,0,24,22,20,21,134,5,0,0,0,0,22,20,15,10,69,1,0,0,0,0,21,20,21,20
1772035626.2350473,falling_3,134,5,0,0,0,0,24,23,21,20,134,5,0,0,0,0,24,20,15,11,134,5,0,0,0,0,11,17,21,27
1772035626.5733964,falling_3,134,5,0,0,0,0,20,20,18,17,134,5,0,0,0,0,22,19,15,11,134,5,0,0,0,0,4,9,13,18
1772035626.9812713,falling_3,134,5,0,0,0,0,24,23,21,21,134,5,0,0,0,0,22,20,16,13,134,5,0,0,0,0,5,11,16,21
1772035627.364231,falling_3,134,5,0,0,0,0,23,22,21,20,134,5,0,0,0,0,25,21,17,12,134,5,0,0,0,0,6,12,18,24
1772035627.6877196,falling_3,134,5,0,0,0,0,25,23,21,20,134,5,0,0,0,0,25,22,18,13,134,5,0,0,0,0,8,12,17,22
1772035628.0296233,falling_3,134,5,0,0,0,0,21,20,16,17,134,5,0,0,0,0,24,22,18,14,134,5,0,0,0,0,9,14,20,24
1772035628.415491,falling_3,134,5,0,0,0,0,24,22,21,20,134,5,0,0,0,0,25,22,18,14,134,5,0,0,0,0,13,18,23,27
1772035628.8156934,falling_3,134,5,0,0,0,0,25,24,21,21,134,5,0,0,0,0,22,18,13,7,134,5,0,0,0,0,10,17,21,26
1772035629.1108415,falling_3,134,5,0,0,0,0,21,20,19,17,134,5,0,0,0,0,24,20,16,10,134,5,0,0,0,0,10,15,23,23
1772035629.4402966,falling_3,134,5,0,0,0,0,24,21,21,19,134,5,0,0,0,0,27,24,19,12,134,5,0,0,0,0,12,17,21,26
1772035629.8601477,falling_3,134,5,0,0,0,0,24,22,21,19,134,5,0,0,0,0,23,20,17,12,69,1,0,0,0,0,19,19,22,20
1772035630.2226536,falling_3,134,5,0,0,0,0,24,24,23,22,134,5,0,0,0,0,25,21,18,13,134,5,0,0,0,0,7,13,19,25
1772035630.5325623,falling_3,134,5,0,0,0,0,24,22,21,21,134,5,0,0,0,0,28,23,19,13,134,5,0,0,0,0,10,16,22,26
1772035630.8542087,falling_3,134,5,0,0,0,0,22,21,19,20,134,5,0,0,0,0,23,20,16,11,134,5,0,0,0,0,11,15,21,23
1772035631.1706917,falling_3,134,5,0,0,0,0,22,21,20,19,134,5,0,0,0,0,23,19,15,12,134,5,0,0,0,0,10,15,21,26
1772035631.4676845,falling_3,134,5,0,0,0,0,22,21,19,18,134,5,0,0,0,0,24,21,17,12,134,5,0,0,0,0,10,13,22,25
1772035631.783055,falling_3,134,5,0,0,0,0,25,23,21,20,134,5,0,0,0,0,25,22,18,13,134,5,0,0,0,0,9,14,21,26
1772035632.0675182,falling_3,134,5,0,0,0,0,22,21,18,19,134,5,0,0,0,0,21,18,15,11,134,5,0,0,0,0,5,8,11,13
1772035632.3731432,falling_3,134,5,0,0,0,0,22,21,19,20,134,5,0,0,0,0,25,22,18,13,134,5,0,0,0,0,9,14,20,26
1772035632.6851513,falling_3,134,5,0,0,0,0,20,18,18,17,134,5,0,0,0,0,24,22,18,13,134,5,0,0,0,0,9,13,19,22
1772035633.033468,falling_3,134,5,0,0,0,0,21,20,18,18,134,5,0,0,0,0,24,21,18,13,134,5,0,0,0,0,10,16,22,27
1772035633.4257092,falling_3,134,5,0,0,0,0,22,19,19,19,134,5,0,0,0,0,21,19,15,11,134,5,0,0,0,0,10,15,22,26
1772035633.7139587,falling_3,134,5,0,0,0,0,12,10,10,10,134,5,0,0,0,0,24,20,17,12,134,5,0,0,0,0,9,14,20,24
1772035634.0471141,falling_3,134,5,0,0,0,0,20,23,18,21,134,5,0,0,0,0,23,18,15,11,134,5,0,0,0,0,12,18,22,27
1772035634.4453826,falling_3,134,5,0,0,0,0,21,20,18,18,134,5,0,0,0,0,25,22,17,12,134,5,0,0,0,0,12,16,22,27
1772035634.7335153,falling_3,134,5,0,0,0,0,25,24,22,21,134,5,0,0,0,0,24,21,15,9,134,5,0,0,0,0,10,16,21,26
1772035635.0610404,falling_3,134,5,0,0,0,0,17,16,15,14,134,5,0,0,0,0,22,17,12,7,134,5,0,0,0,0,12,17,22,26
1772035635.3442872,falling_3,134,5,0,0,0,0,21,19,17,16,134,5,0,0,0,0,18,15,11,8,134,5,0,0,0,0,10,15,20,24
1772035635.7987432,falling_3,134,5,0,0,0,0,23,22,21,21,134,5,0,0,0,0,23,19,15,10,134,5,0,0,0,0,8,15,20,26
1772035636.2961137,falling_3,134,5,0,0,0,0,24,22,23,20,143,6,0,0,0,0,21,17,13,7,134,5,0,0,0,0,8,14,19,24
1772035636.7255855,falling_3,134,5,0,0,0,0,24,22,20,20,134,5,0,0,0,0,21,17,13,8,134,5,0,0,0,0,5,11,15,21
1772035637.1289396,falling_3,134,5,0,0,0,0,25,23,22,21,134,5,0,0,0,0,26,23,19,14,134,5,0,0,0,0,10,14,22,26
1772035637.5996451,falling_3,134,5,0,0,0,0,20,19,18,18,134,5,0,0,0,0,24,20,17,10,134,5,0,0,0,0,9,13,18,24
1772035637.9287648,falling_3,134,5,0,0,0,0,19,18,17,16,134,5,0,0,0,0,25,23,19,15,134,5,0,0,0,0,9,13,19,23
1772035638.2560287,falling_3,134,5,0,0,0,0,20,19,17,17,134,5,0,0,0,0,23,19,15,11,134,5,0,0,0,0,10,15,20,25
1772035638.6225574,falling_3,134,5,0,0,0,0,25,24,23,22,134,5,0,0,0,0,25,22,17,13,134,5,0,0,0,0,11,16,20,24
1772035638.9611123,falling_3,134,5,0,0,0,0,24,23,21,21,134,5,0,0,0,0,24,21,17,12,134,5,0,0,0,0,10,15,19,24
