timestamp,label,ESP32_NODE_1_sub_0,ESP32_NODE_1_sub_1,ESP32_NODE_1_sub_2,ESP32_NODE_1_sub_3,ESP32_NODE_1_sub_4,ESP32_NODE_1_sub_5,ESP32_NODE_1_sub_6,ESP32_NODE_1_sub_7,ESP32_NODE_1_sub_8,ESP32_NODE_1_sub_9,ESP32_NODE_2_sub_0,ESP32_NODE_2_sub_1,ESP32_NODE_2_sub_2,ESP32_NODE_2_sub_3,ESP32_NODE_2_sub_4,ESP32_NODE_2_sub_5,ESP32_NODE_2_sub_6,ESP32_NODE_2_sub_7,ESP32_NODE_2_sub_8,ESP32_NODE_2_sub_9,ESP32_NODE_3_sub_0,ESP32_NODE_3_sub_1,ESP32_NODE_3_sub_2,ESP32_NODE_3_sub_3,ESP32_NODE_3_sub_4,ESP32_NODE_3_sub_5,ESP32_NODE_3_sub_6,ESP32_NODE_3_sub_7,ESP32_NODE_3_sub_8,ESP32_NODE_3_sub_9
1772090261.1947942,walking,21,15,0,0,0,0,13,11,10,9,128,5,0,0,0,0,19,19,19,18,128,5,0,0,0,0,19,18,18,18
1772090261.2892256,walking,128,5,0,0,0,0,10,13,13,12,21,15,0,0,0,0,20,15,10,4,128,5,0,0,0,0,18,17,19,16
1772090261.385797,walking,128,5,0,0,0,0,15,19,15,18,128,5,0,0,0,0,20,20,21,20,90,11,0,0,0,0,16,17,17,16
1772090261.4786007,walking,99,5,0,0,0,0,23,22,20,18,128,5,0,0,0,0,17,18,17,18,128,5,0,0,0,0,16,16,16,17
1772090261.5890272,walking,99,5,0,0,0,0,10,8,9,9,99,5,0,0,0,0,18,12,8,5,128,5,0,0,0,0,19,18,20,17
1772090261.7146587,walking,90,11,0,0,0,0,12,13,14,14,90,11,0,0,0,0,20,20,19,19,90,11,0,0,0,0,8,9,12,10
1772090261.8085687,walking,128,5,0,0,0,0,11,13,12,14,117,29,0,0,0,0,18,22,19,25,134,5,0,0,0,0,13,18,22,25
1772090261.9041245,walking,128,5,0,0,0,0,17,15,23,16,90,11,0,0,0,0,18,18,18,18,128,5,0,0,0,0,27,25,25,25
1772090261.999664,walking,99,5,0,0,0,0,13,14,15,18,128,5,0,0,0,0,18,18,17,17,99,5,0,0,0,0,21,18,19,19
1772090262.1426017,walking,128,5,0,0,0,0,19,18,20,16,128,5,0,0,0,0,18,18,18,18,90,11,0,0,0,0,12,13,14,14
1772090262.2998924,walking,21,15,0,0,0,0,22,21,19,17,99,5,0,0,0,0,18,19,28,25,90,11,0,0,0,0,14,9,12,17
1772090262.4110827,walking,128,5,0,0,0,0,11,14,12,13,128,5,0,0,0,0,18,19,18,18,128,5,0,0,0,0,17,17,18,16
1772090262.5219014,walking,128,5,0,0,0,0,16,19,18,18,128,5,0,0,0,0,16,16,17,16,128,5,0,0,0,0,10,10,12,10
1772090262.629469,walking,117,29,0,0,0,0,19,19,16,17,99,5,0,0,0,0,19,12,12,4,117,29,0,0,0,0,17,16,18,17
