timestamp,label,ESP32_NODE_1_sub_0,ESP32_NODE_1_sub_1,ESP32_NODE_1_sub_2,ESP32_NODE_1_sub_3,ESP32_NODE_1_sub_4,ESP32_NODE_1_sub_5,ESP32_NODE_1_sub_6,ESP32_NODE_1_sub_7,ESP32_NODE_1_sub_8,ESP32_NODE_1_sub_9,ESP32_NODE_2_sub_0,ESP32_NODE_2_sub_1,ESP32_NODE_2_sub_2,ESP32_NODE_2_sub_3,ESP32_NODE_2_sub_4,ESP32_NODE_2_sub_5,ESP32_NODE_2_sub_6,ESP32_NODE_2_sub_7,ESP32_NODE_2_sub_8,ESP32_NODE_2_sub_9,ESP32_NODE_3_sub_0,ESP32_NODE_3_sub_1,ESP32_NODE_3_sub_2,ESP32_NODE_3_sub_3,ESP32_NODE_3_sub_4,ESP32_NODE_3_sub_5,ESP32_NODE_3_sub_6,ESP32_NODE_3_sub_7,ESP32_NODE_3_sub_8,ESP32_NODE_3_sub_9
1772090284.5743225,walking,128,5,0,0,0,0,27,25,28,24,32,18,0,0,0,0,19,19,19,20,90,11,0,0,0,0,22,21,19,24
1772090284.7307003,walking,21,15,0,0,0,0,24,22,19,18,99,5,0,0,0,0,20,14,9,5,99,5,0,0,0,0,8,12,13,15
1772090284.9334028,walking,99,5,0,0,0,0,23,21,20,18,99,5,0,0,0,0,16,13,8,5,128,5,0,0,0,0,20,17,18,18
1772090285.0879676,walking,99,5,0,0,0,0,11,10,9,8,134,5,0,0,0,0,21,16,10,3,99,5,0,0,0,0,6,9,12,15
1772090285.2411675,walking,90,11,0,0,0,0,18,15,17,15,90,11,0,0,0,0,12,14,19,17,140,6,0,0,0,0,16,15,15,13
1772090285.3516755,walking,128,5,0,0,0,0,10,12,10,10,128,5,0,0,0,0,18,17,18,18,128,5,0,0,0,0,20,21,20,20
1772090285.4598844,walking,90,11,0,0,0,0,19,19,19,20,99,5,0,0,0,0,17,12,7,3,128,5,0,0,0,0,17,17,17,18
1772090285.5524213,walking,90,11,0,0,0,0,15,16,15,17,90,11,0,0,0,0,20,20,20,18,128,5,0,0,0,0,15,15,15,14
1772090285.6465375,walking,99,5,0,0,0,0,22,20,18,16,90,11,0,0,0,0,19,20,15,20,117,29,0,0,0,0,21,16,22,19
1772090285.7554133,walking,90,11,0,0,0,0,14,13,16,18,128,5,0,0,0,0,19,19,18,19,87,29,0,0,0,0,13,12,12,13
